id,nombre,email,telefono,experiencia_anos,nivel,fecha_postulacion,estado,puntuacion
39,Juan Pérez,juan.pérez141@yahoo.com,+573080785463,12.0,entry-level,2025-09-28,oferta,0
40,María García,maría.garcía455@hotmail.com,+573042557431,16.0,mid-level,2025-11-06,en_revision,61
41,Lucía Díaz,lucía.díaz342@yahoo.com,+573076554979,9.0,junior,2026-01-23,entrevista,47
42,Juan Pérez,,+573147554479,12.0,mid-level,2025-05-10,oferta,73
43,Ana Martínez,ana.martínez426@hotmail.com,+573173372050,7.0,senior,2026-01-19,oferta,23
44,Lucía Díaz,lucía.díaz256@yahoo.com,+573166111706,16.0,entry-level,2025-10-01,aceptado,68
45,Carlos López,carlos.lópez670@gmail.com,+573076970906,13.0,senior,2026-03-05,en_revision,46
46,Isabel Ruiz,isabel.ruiz284@example.com,+573194930838,14.0,senior,2025-10-06,rechazado,73
47,Pedro Sánchez,pedro.sánchez208@hotmail.com,+573085498838,9.0,entry-level,2026-01-11,aceptado,36
48,Pedro Sánchez,pedro.sánchez773@yahoo.com,+573073832403,5.0,entry-level,2025-07-22,PENDIENTE_REVISAR,2
49,Ana Martínez,ana.martínez110@example.com,+573095555111,20.0,mid-level,2026-03-01,aceptado,54
50,Lucía Díaz,lucía.díaz250@hotmail.com,+573085727851,16.0,junior,2026-04-28,entrevista,67
51,Sofía Fernández,sofía.fernández734@example.com,+573099928715,14.0,entry-level,2025-09-18,aceptado,51
52,Lucía Díaz,lucía.díaz468@outlook.com,+573161938550,0.0,junior,2025-08-18,entrevista,12
53,Miguel Torres,miguel.torres965@yahoo.com,+573141089272,2.0,entry-level,2025-12-31,aceptado,44
54,Pedro Sánchez,pedro.sánchez596@example.com,+573127392868,2.0,junior,2025-09-09,rechazado,42
55,Pedro Sánchez,pedro.sánchez886@gmail.com,+573061781205,0.0,entry-level,2025-08-11,rechazado,21
56,Miguel Torres,miguel.torres880@hotmail.com,+573099005148,8.0,entry-level,2025-07-27,oferta,13
57,Pedro Sánchez,pedro.sánchez541@hotmail.com,+573101996868,20.0,mid-level,2026-03-14,en_revision,50
58,Miguel Torres,miguel.torres490@example.com,+573119315567,1.0,mid-level,2026-01-09,aceptado,90
59,Ana Martínez,ana.martínez321@yahoo.com,+573183804247,2.0,mid-level,2026-02-01,rechazado,99
60,Lucía Díaz,lucía.díaz275@hotmail.com,+573131030699,6.0,junior,2025-07-07,aceptado,74
61,Lucía Díaz,,+573102250658,8.0,mid-level,2025-09-16,en_revision,68
62,María García,maría.garcía871@example.com,+573042931807,18.0,senior,2025-07-09,oferta,95
63,Isabel Ruiz,isabel.ruiz721@example.com,+573155424094,8.0,mid-level,2025-05-31,entrevista,51
64,Isabel Ruiz,isabel.ruiz269@example.com,+573153662144,,mid-level,2026-04-08,en_revision,91
65,Luis Rodríguez,luis.rodríguez450@hotmail.com,+573131046207,5.0,mid-level,2025-08-07,oferta,15
66,Ana Martínez,ana.martínez457@example.com,+573060077015,15.0,mid-level,2026-03-15,entrevista,91
67,Ana Martínez,ana.martínez376@hotmail.com,+573112579050,19.0,mid-level,2025-06-10,en_revision,41
68,Miguel Torres,miguel.torres630@yahoo.com,+573092471480,7.0,DESCONOCIDO,2026-03-13,en_revision,28
69,Isabel Ruiz,isabel.ruiz648@gmail.com,+573197459797,14.0,senior,2026-02-18,rechazado,68
70,Isabel Ruiz,isabel.ruiz350@outlook.com,+573147836544,18.0,junior,2025-07-13,oferta,28
71,Carlos López,carlos.lópez496@yahoo.com,+573172219317,11.0,entry-level,2025-06-29,aceptado,41
72,Isabel Ruiz,isabel.ruiz274@outlook.com,+573046076025,7.0,entry-level,2025-08-04,aceptado,31
73,Pedro Sánchez,pedro.sánchez775@yahoo.com,+573080548827,1.0,junior,2025-07-15,aceptado,0
74,Isabel Ruiz,isabel.ruiz121@yahoo.com,+573199653097,1.0,senior,2025-12-08,rechazado,34
75,Sofía Fernández,sofía.fernández381@yahoo.com,+573159026438,14.0,entry-level,2025-05-17,entrevista,51
76,Juan Pérez,juan.pérez197@gmail.com,+573145620429,14.0,entry-level,2025-06-14,PENDIENTE_REVISAR,90
77,Luis Rodríguez,luis.rodríguez831@yahoo.com,+573123975927,8.0,junior,2025-06-16,oferta,74
78,Isabel Ruiz,isabel.ruiz491@gmail.com,+573104527982,16.0,junior,2025-08-16,en_revision,53
79,Lucía Díaz,lucía.díaz268@hotmail.com,+573062510945,,junior,2025-10-23,oferta,22
80,Lucía Díaz,lucía.díaz858@yahoo.com,+573057389884,2.0,junior,2025-11-29,en_revision,80
81,Carlos López,carlos.lópez217@outlook.com,+573084202966,14.0,senior,2026-04-25,entrevista,73
82,Isabel Ruiz,,+573154577843,9.0,junior,2026-01-23,en_revision,17
83,Lucía Díaz,lucía.díaz371@outlook.com,+573171406763,10.0,senior,2025-06-17,aceptado,58
84,Luis Rodríguez,luis.rodríguez106@outlook.com,+573057453372,15.0,mid-level,2026-04-01,rechazado,29
85,Miguel Torres,miguel.torres614@outlook.com,+573041788125,13.0,junior,2026-03-24,rechazado,4
86,Carlos López,carlos.lópez695@gmail.com,+573155211703,2.0,mid-level,2025-09-01,oferta,17
87,Sofía Fernández,sofía.fernández435@gmail.com,+573024128957,17.0,senior,2026-03-17,PENDIENTE_REVISAR,31
88,Ana Martínez,ana.martínez714@example.com,+573087330277,13.0,mid-level,2025-06-28,en_revision,28
89,Miguel Torres,,+573156768587,16.0,senior,2025-08-05,aceptado,67
90,Miguel Torres,miguel.torres311@outlook.com,+573136864679,7.0,mid-level,2025-07-08,oferta,34
91,María García,maría.garcía764@gmail.com,+573196981451,5.0,senior,2025-12-21,rechazado,34
92,Isabel Ruiz,isabel.ruiz928@hotmail.com,+573119406455,16.0,entry-level,2025-09-24,oferta,72
93,Lucía Díaz,lucía.díaz480@yahoo.com,+573158422829,6.0,entry-level,2026-04-07,entrevista,85
94,Isabel Ruiz,isabel.ruiz525@hotmail.com,+573058350497,6.0,senior,2026-04-21,entrevista,38
95,Ana Martínez,ana.martínez211@outlook.com,+573111982504,2.0,senior,2025-10-11,aceptado,65
96,Ana Martínez,ana.martínez208@outlook.com,+573132159089,3.0,junior,2025-08-21,PENDIENTE_REVISAR,94
97,María García,maría.garcía735@outlook.com,+573027483878,15.0,DESCONOCIDO,2025-07-30,entrevista,29
98,Juan Pérez,juan.pérez570@example.com,+573094564392,16.0,senior,2025-06-22,entrevista,58
99,María García,maría.garcía778@example.com,+573153480688,12.0,entry-level,2025-11-07,PENDIENTE_REVISAR,9
100,Miguel Torres,miguel.torres488@yahoo.com,+573005417458,16.0,mid-level,2025-09-15,rechazado,16
