id,nombre,email,telefono,experiencia_anos,nivel,fecha_postulacion,estado,puntuacion
38,Lucía Díaz,lucía.díaz539@outlook.com,+573171663410,17.0,entry-level,2025-07-30,rechazado,55.0
39,Lucía Díaz,lucía.díaz555@yahoo.com,+573033500224,2.0,senior,2025-09-19,aceptado,25.0
40,Ana Martínez,ana.martínez408@example.com,+573055874816,11.0,entry-level,2026-01-16,en_revision,71.0
41,Carlos López,carlos.lópez570@outlook.com,+573136863620,16.0,entry-level,2026-03-23,aceptado,63.0
42,Pedro Sánchez,pedro.sánchez247@hotmail.com,+573001579602,4.0,junior,2025-12-06,aceptado,72.0
43,Carlos López,carlos.lópez118@yahoo.com,+573136702871,15.0,junior,2025-06-17,entrevista,24.0
44,Carlos López,carlos.lópez965@outlook.com,+573188739847,7.0,senior,2025-11-26,en_revision,48.0
45,María García,maría.garcía121@example.com,+573017923926,17.0,mid-level,2025-12-21,en_revision,34.0
46,Pedro Sánchez,pedro.sánchez117@hotmail.com,+573199514413,16.0,mid-level,2026-01-07,rechazado,20.0
47,Ana Martínez,ana.martínez645@outlook.com,,2.0,senior,2025-12-31,aceptado,32.0
48,Carlos López,carlos.lópez972@yahoo.com,+573025576907,15.0,senior,2026-01-22,aceptado,5.0
49,Sofía Fernández,sofía.fernández178@hotmail.com,+573186369413,5.0,entry-level,2025-11-26,en_revision,25.0
50,Lucía Díaz,lucía.díaz486@gmail.com,+573032872489,15.0,junior,2026-02-03,oferta,65.0
51,María García,maría.garcía206@yahoo.com,+573176854690,16.0,junior,2025-11-06,en_revision,88.0
52,Lucía Díaz,lucía.díaz695@example.com,+573092745897,12.0,senior,2025-06-05,en_revision,93.0
53,Miguel Torres,miguel.torres666@yahoo.com,+573043233819,10.0,entry-level,2026-05-18,rechazado,77.0
54,Carlos López,carlos.lópez987@example.com,+573192880424,10.0,mid-level,2025-07-29,entrevista,66.0
55,María García,maría.garcía655@yahoo.com,+573090554238,3.0,entry-level,2025-09-28,oferta,45.0
56,Lucía Díaz,lucía.díaz859@outlook.com,+573091128220,1.0,entry-level,2025-12-07,en_revision,59.0
57,Lucía Díaz,lucía.díaz645@hotmail.com,+573181922245,1.0,mid-level,2025-11-08,entrevista,17.0
58,Pedro Sánchez,pedro.sánchez477@hotmail.com,+573006821808,,entry-level,2026-04-05,en_revision,70.0
59,Pedro Sánchez,pedro.sánchez741@gmail.com,+573094344841,12.0,junior,2025-08-05,rechazado,43.0
60,María García,maría.garcía379@yahoo.com,+573058933353,17.0,senior,2026-02-23,oferta,78.0
61,Ana Martínez,ana.martínez494@example.com,+573167090130,2.0,senior,2025-10-25,aceptado,90.0
62,Lucía Díaz,lucía.díaz612@example.com,+573132698999,13.0,senior,2025-11-15,en_revision,94.0
63,Isabel Ruiz,isabel.ruiz666@yahoo.com,+573092919810,11.0,junior,2025-08-27,aceptado,98.0
64,Pedro Sánchez,pedro.sánchez829@gmail.com,+573199482998,2.0,mid-level,2025-09-24,entrevista,44.0
65,Lucía Díaz,lucía.díaz847@gmail.com,+573045536084,8.0,entry-level,2025-10-09,en_revision,61.0
66,Ana Martínez,ana.martínez130@hotmail.com,+573195417824,3.0,junior,2025-06-26,entrevista,4.0
68,María García,maría.garcía798@hotmail.com,+573154327350,0.0,mid-level,2025-09-09,oferta,92.0
69,Luis Rodríguez,luis.rodríguez551@yahoo.com,+573009414251,3.0,mid-level,2026-05-06,entrevista,56.0
70,Juan Pérez,juan.pérez105@outlook.com,+573159657690,7.0,mid-level,2025-10-21,oferta,75.0
71,Ana Martínez,ana.martínez600@yahoo.com,+573180659485,2.0,entry-level,2025-10-20,aceptado,18.0
72,Luis Rodríguez,luis.rodríguez277@example.com,+573167809681,13.0,entry-level,2025-12-27,aceptado,68.0
73,Carlos López,carlos.lópez428@hotmail.com,+573073696989,15.0,junior,2025-06-03,aceptado,82.0
74,Juan Pérez,juan.pérez320@yahoo.com,+573001531828,0.0,mid-level,2026-04-04,entrevista,98.0
75,Sofía Fernández,sofía.fernández455@outlook.com,+573012712100,6.0,junior,2025-11-04,en_revision,6.0
76,Luis Rodríguez,luis.rodríguez255@outlook.com,+573192960652,7.0,mid-level,2025-10-12,rechazado,34.0
78,Luis Rodríguez,luis.rodríguez981@example.com,+573150094746,20.0,junior,2025-12-07,entrevista,60.0
79,Luis Rodríguez,luis.rodríguez879@yahoo.com,+573063654163,8.0,senior,2026-04-21,entrevista,26.0
80,Sofía Fernández,sofía.fernández217@outlook.com,+573120045995,7.0,senior,2025-10-05,rechazado,63.0
81,Luis Rodríguez,luis.rodríguez676@gmail.com,+573179935278,10.0,junior,2026-04-20,rechazado,51.0
82,Pedro Sánchez,pedro.sánchez232@example.com,+573194088167,15.0,senior,2026-01-31,en_revision,84.0
83,Isabel Ruiz,isabel.ruiz537@hotmail.com,+573068236184,20.0,junior,2025-11-28,aceptado,31.0
85,María García,maría.garcía716@hotmail.com,+573042671003,16.0,entry-level,2026-01-06,en_revision,34.0
86,Sofía Fernández,sofía.fernández517@example.com,+573054235321,7.0,junior,2025-06-14,rechazado,62.0
87,Isabel Ruiz,isabel.ruiz448@gmail.com,+573112464630,18.0,junior,2026-03-15,oferta,7.0
88,Carlos López,carlos.lópez314@outlook.com,+573080705963,18.0,entry-level,2026-05-28,entrevista,0.0
89,Lucía Díaz,lucía.díaz308@outlook.com,+573074420941,2.0,junior,2025-09-18,aceptado,39.0
90,María García,maría.garcía650@gmail.com,+573090121765,14.0,junior,2025-11-26,oferta,55.0
91,Miguel Torres,miguel.torres227@yahoo.com,+573068739807,18.0,senior,2025-07-22,rechazado,56.0
92,Lucía Díaz,lucía.díaz560@gmail.com,+573191343336,7.0,entry-level,2026-01-06,oferta,93.0
93,Juan Pérez,juan.pérez771@gmail.com,+573043494330,13.0,junior,2026-01-24,oferta,20.0
94,Isabel Ruiz,isabel.ruiz732@yahoo.com,+573021618963,1.0,mid-level,2026-05-24,oferta,56.0
95,Isabel Ruiz,isabel.ruiz561@example.com,+573198436330,12.0,junior,2025-07-29,en_revision,94.0
96,Carlos López,carlos.lópez827@gmail.com,+573158432644,14.0,senior,2025-06-09,en_revision,60.0
97,Juan Pérez,juan.pérez529@outlook.com,+573190626083,,entry-level,2025-09-20,en_revision,72.0
98,Luis Rodríguez,luis.rodríguez276@example.com,+573075715728,15.0,junior,2025-11-28,entrevista,18.0
99,Lucía Díaz,lucía.díaz822@hotmail.com,+573038923230,9.0,mid-level,2026-03-29,aceptado,6.0
100,Miguel Torres,miguel.torres960@yahoo.com,+573116692517,7.0,entry-level,2025-10-03,en_revision,89.0
